county_FIPS,overture_labeled,bootstrap_p50,acs_units,county_name,arruda_res_count,pct_residential
06001,71127,479428.81,650424.0,Alameda,421850,0.9480222662193047
06003,943,1549.91,1794.0,Alpine,1497,0.8900118906064209
06005,384,17475.71,20528.0,Amador,3977,0.9003848766130857
06007,2016,87850.06,102848.0,Butte,20305,0.916828464351831
06009,184,25602.83,41685.0,Calaveras,41163,0.9859637356583392
06011,1623,7426.349999999999,10063.0,Colusa,953,0.7766911165444172
06013,33077,361449.17,514512.0,Contra Costa,127107,0.9126332794830372
06015,275,10634.390000000001,14235.0,Del Norte,1604,0.8036072144288577
06017,7799,88700.72,121713.0,El Dorado,19712,0.9075506445672191
06019,8836,316508.26,402632.0,Fresno,67806,0.8599911218212949
06021,77,10416.57,17082.0,Glenn,299,0.48776508972267535
06023,5495,59381.770000000004,77467.0,Humboldt,21709,0.9095822684040725
06025,946,55552.47,78259.0,Imperial,11273,0.8137000144362639
06027,1913,8980.7,9514.0,Inyo,10664,0.880449141347424
06029,77605,291762.34,472738.0,Kern,210023,0.8994329910152201
06031,2160,44304.43,60660.0,Kings,3263,0.7851299326275265
06033,4640,32570.41,52509.0,Lake,7050,0.9046580264339792
06035,132,11583.5,12766.0,Lassen,1674,0.6838235294117647
06037,2678687,2745935.33,4179520.0,Los Angeles,2825270,0.9281454141678945
06039,412,46992.97,81297.0,Madera,15630,0.9252353045640206
06041,7731,103075.67,132464.0,Marin,82532,0.9346666515668
06043,350,8714.67,10525.0,Mariposa,7401,0.7631470406269334
06045,1191,39743.37,50072.0,Mendocino,4514,0.7368592882794646
06047,13177,82855.55,118988.0,Merced,37935,0.8646350913980946
06049,126,4266.49,5259.0,Modoc,969,0.8667262969588551
06051,505,11252.53,23887.0,Mono,9491,0.8669955238878232
06053,81662,134659.85,166062.0,Monterey,110656,0.9081329503487895
06055,3303,52396.83,55339.0,Napa,25839,0.8986540534900705
06057,3417,50427.23,78565.0,Nevada,21614,0.9353875448998139
06059,98456,773399.04,1213633.0,Orange,763842,0.9473715543704071
06061,25361,164292.87,184669.0,Placer,61065,0.9309256661991585
06063,355,14557.81,15873.0,Plumas,2634,0.9216235129461162
06065,135914,825337.73,1030814.0,Riverside,247436,0.9118030732947636
06067,45416,491327.01,687226.0,Sacramento,251484,0.963141688496714
06069,3851,19218.690000000002,21958.0,San Benito,22887,0.8653257211992892
06071,59996,694858.63,972807.0,San Bernardino,137317,0.8411557875134764
06073,48074,953824.27,1534006.0,San Diego,263637,0.8771468116395286
06075,8697,151158.13,523970.0,San Francisco,147242,0.9174242188230163
06077,33064,241565.86,322148.0,San Joaquin,170205,0.9325790367651088
06079,37656,120635.65,183523.0,San Luis Obispo,150427,0.9252661815631977
06081,46545,219523.03,322865.0,San Mateo,211522,0.9489248879577582
06083,27448,140568.4,207696.0,Santa Barbara,81033,0.9006869109016539
06085,116344,542779.06,781986.0,Santa Clara,522957,0.9319080916944659
06087,25085,101848.08,152910.0,Santa Cruz,30300,0.8213385378547613
06089,30419,73121.36,83280.0,Shasta,48451,0.927238627447228
06091,473,1882.45,2337.0,Sierra,1220,0.8758076094759512
06093,1286,21374.07,33824.0,Siskiyou,7060,0.895143907696209
06095,10807,149969.82,173831.0,Solano,112493,0.9387950962637803
06097,113069,194157.01,271660.0,Sonoma,268015,0.9570699586126119
06099,9520,173470.76,228430.0,Stanislaus,47317,0.9366364464151392
06101,233,33122.19,34394.0,Sutter,8771,0.9527482076906365
06103,907,25898.48,37041.0,Tehama,1545,0.6306122448979592
06105,40,7734.889999999999,11719.0,Trinity,693,0.8339350180505415
06107,10919,143459.71,212859.0,Tulare,48196,0.950161659175144
06109,2836,29489.890000000003,55693.0,Tuolumne,46916,0.9643576567317574
06111,26060,248207.69,356128.0,Ventura,88021,0.9189626551684537
06113,13890,71976.17,96205.0,Yolo,27466,0.8461230399556391
06115,283,27840.25,44442.0,Yuba,506,0.5085427135678392
