county_FIPS,county_name,calibration_source,R_c,arruda_res_count,bootstrap_p50_2024,scale_factor,change_pct,arruda_negative_flag,rescaled
06001,Alameda,arruda_direct,71127,421850,401055.3,1.0,0.0,False,False
06003,Alpine,acs,943,1497,1547.7,1.0,0.0,False,False
06005,Amador,acs,384,3977,17547.8,1.0,0.0,False,False
06007,Butte,acs,2016,20305,87742.8,1.0,0.0,False,False
06009,Calaveras,acs,184,41163,25564.4,1.0,0.0,False,False
06011,Colusa,acs,1623,953,7399.8,1.0,0.0,True,False
06013,Contra Costa,arruda_direct,33077,127107,125221.4,1.0,0.0,False,False
06015,Del Norte,acs,275,1604,10715.9,1.0,0.0,False,False
06017,El Dorado,acs,7799,19712,89185.4,1.0,0.0,False,False
06019,Fresno,acs,8836,67806,316292.3,1.0,0.0,False,False
06021,Glenn,acs,77,299,10662.0,1.0,0.0,False,False
06023,Humboldt,acs,5495,21709,59632.4,1.0,0.0,False,False
06025,Imperial,acs,946,11273,55421.5,1.0,0.0,False,False
06027,Inyo,acs,1913,10664,8907.4,1.0,0.0,False,False
06029,Kern,acs,77605,210023,292537.5,1.0,0.0,False,False
06031,Kings,acs,2160,3263,44606.1,1.0,0.0,False,False
06033,Lake,acs,4640,7050,32216.8,1.0,0.0,False,False
06035,Lassen,acs,132,1674,11504.6,1.0,0.0,False,False
06037,Los Angeles,arruda_direct,2678687,2825270,2746066.9,1.0,0.0,False,False
06039,Madera,acs,412,15630,47236.8,1.0,0.0,False,False
06041,Marin,arruda_direct,7731,82532,79008.9,1.0,0.0,False,False
06043,Mariposa,acs,350,7401,8595.8,1.0,0.0,False,False
06045,Mendocino,acs,1191,4514,40046.5,1.0,0.0,False,False
06047,Merced,acs,13177,37935,83023.1,1.0,0.0,False,False
06049,Modoc,acs,126,969,4345.0,1.0,0.0,False,False
06051,Mono,arruda_direct,505,9491,8923.1,1.0,0.0,False,False
06053,Monterey,acs,81662,110656,134971.8,1.0,0.0,False,False
06055,Napa,acs,3303,25839,53353.1,1.0,0.0,False,False
06057,Nevada,acs,3417,21614,50663.5,1.0,0.0,False,False
06059,Orange,arruda_direct,98456,763842,721999.1,1.0,0.0,False,False
06061,Placer,acs,25361,61065,164629.9,1.0,0.0,False,False
06063,Plumas,acs,355,2634,14372.2,1.0,0.0,False,False
06065,Riverside,acs,135914,247436,817291.2,1.0,0.0,False,False
06067,Sacramento,arruda_direct,45416,251484,234302.4,1.0,0.0,False,False
06069,San Benito,acs,3851,22887,19488.5,1.0,0.0,False,False
06071,San Bernardino,acs,59996,137317,696102.9,1.0,0.0,False,False
06073,San Diego,arruda_direct,48074,263637,238455.5,1.0,0.0,False,False
06075,San Francisco,arruda_direct,8697,147242,139959.2,1.0,0.0,False,False
06077,San Joaquin,acs,33064,170205,243232.4,1.0,0.0,False,False
06079,San Luis Obispo,acs,37656,150427,119589.2,1.0,0.0,False,False
06081,San Mateo,arruda_direct,46545,211522,201086.2,1.0,0.0,False,False
06083,Santa Barbara,arruda_direct,27448,81033,74576.6,1.0,0.0,False,False
06085,Santa Clara,arruda_direct,116344,522957,502029.3,1.0,0.0,False,False
06087,Santa Cruz,acs,25085,30300,101706.3,1.0,0.0,False,False
06089,Shasta,acs,30419,48451,73029.3,1.0,0.0,False,False
06091,Sierra,acs,473,1220,1855.6,1.0,0.0,False,False
06093,Siskiyou,acs,1286,7060,21366.6,1.0,0.0,False,False
06095,Solano,arruda_direct,10807,112493,108511.9,1.0,0.0,False,False
06097,Sonoma,acs,113069,268015,195930.8,1.0,0.0,False,False
06099,Stanislaus,acs,9520,47317,172011.1,1.0,0.0,False,False
06101,Sutter,acs,233,8771,33108.0,1.0,0.0,False,False
06103,Tehama,acs,907,1545,25670.2,1.0,0.0,False,False
06105,Trinity,acs,40,693,7810.6,1.0,0.0,False,False
06107,Tulare,acs,10919,48196,144570.9,1.0,0.0,False,False
06109,Tuolumne,acs,2836,46916,30009.2,1.0,0.0,False,False
06111,Ventura,arruda_direct,26060,88021,80081.4,1.0,0.0,False,False
06113,Yolo,arruda_direct,13890,27466,25825.7,1.0,0.0,False,False
06115,Yuba,acs,283,506,28251.1,1.0,0.0,False,False
